id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MCO580150997;Alquiler De Vans Sin Conductor;400000.0;1;0;classified;gold_premium;False;;MCO8997;Servicios
MCO575309877;Desayunos Sorpresa Anchetas Navideñas Bogota Domicili Gratis;;1;0;classified;gold_premium;False;;MCO154836;Servicios
MCO580152287;Alquiler De Vehículos Al Mejor Precio;125000.0;1;0;classified;gold_premium;False;;MCO8997;Servicios
MCO574555437;Cursos  Licencias De Conducción A2 Moto  B1 - C1: Carro Pase;;1;0;classified;gold_premium;False;;MCO155435;Servicios
MCO579441274;Alquiler De Sillas, Mesas Manteles Eventos, Paella. 2231505;;1;0;classified;gold_premium;False;;MCO155485;Servicios
MCO571806301;Mudanzas Trasteos Acarreos Local-nal ,normas De Bioseguridad;;1;0;classified;gold_premium;False;;MCO155427;Servicios
MCO576285848;Amarres De Amor ( Pague Al Ver Resultados);;1;0;classified;gold_premium;False;;MCO155476;Servicios
MCO592328555;Compra De Televisores Y Computadores Dañados  A Domicilio  ;;1;0;classified;gold_premium;False;;MCO92653;Servicios
MCO573021788;Alquiler De Camionetas Medellin 7 Puestos 7 Pasajeros;;1;0;classified;gold_premium;False;;MCO8997;Servicios
MCO591879241;Malla Eslabonada. Galvanizada Cerramiento Bogotá Fabrica;5800.0;1;0;classified;gold_premium;False;;MCO154953;Servicios
MCO573020583;Dueño Directo Alquiler Renta Carro Medellin Dde $55.000/dia;55000.0;1;0;classified;gold_premium;False;;MCO8997;Servicios
MCO573164329;Letras Luminosas, Decoracion 15 Años, Matrimonios, Fiestas;25000.0;1;0;classified;gold_premium;False;;MCO118410;Servicios
MCO574557490;Mesones Mármol Granito Cuarzo Silestone Piedra Corian Krion;230000.0;1;0;classified;gold_premium;False;;MCO154962;Servicios
MCO568831034;Alquiler Sillas,mesas,samovares,manteles,decoracion,sorpresa;;1;0;classified;gold_premium;False;;MCO118382;Servicios
MCO569273308;Nitrogeno Liquido 99% Puro Bogotá;5000.0;1;0;classified;gold_premium;False;;MCO9016;Servicios
MCO568956502;Técnico De Instalaciones De Directv Prepago Pospago;;1;0;classified;gold_premium;False;;MCO9019;Servicios
MCO588968900;Acarreos Trasteos Mudanzas Pequeños 3203160652 En Bogotá ;;1;0;classified;gold_premium;False;;MCO155427;Servicios
MCO586840355;Masaje Profesional A Extranjero, Ejecutivo Domicilio O Spa;;1;0;classified;gold;False;;MCO9021;Servicios
MCO593987290;Pavo Relleno Americano Pernil Cenas Navideñas Thanksgiving;250000.0;1;0;classified;gold;False;;MCO118397;Servicios
MCO585403773;Hidrolavadoras Industriales - Interpump - Hawk-;;1;0;classified;gold_premium;False;;MCO166614;Servicios
MCO583285243;Alquiler Saltarines Inflables Trampolines Pelotas3133563629;60000.0;1;0;classified;gold_premium;False;;MCO92647;Servicios
MCO579326855;Cerramientos En Malla Eslabonada. Fabricantes, Instalacion;5900.0;1;0;classified;gold_premium;False;;MCO154953;Servicios
MCO568823680;Acarreos Trasteos Mudanzas Pequeños 3057122454;;1;0;classified;gold_premium;False;;MCO155427;Servicios
MCO577055311;Profesor De Matematicas Clases Talleres Parciales Calculo;;1;0;classified;gold_premium;False;;MCO9003;Servicios
MCO593400354;Malla Eslabonada Para Cerramientos;5500.0;1;0;classified;gold_premium;False;;MCO9016;Servicios
MCO590405172;Nevera Redonda Para Avena,barra Refrigerada Mesón-trabajo;;1;0;classified;gold;False;;MCO9065;Servicios
