id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MCO551894255;Set De Pantalones Carters 5 Unidades;69900;1;250;buy_it_now;gold_special;True;;MCO39957;Bebés
MCO592806660;Pulpo Reversible Peluche 20cm Estado De Ánimo Doble Cara;26770;500;500;buy_it_now;gold_special;True;;MCO176652;Bebés
MCO526294112;Pañalera Multifuncional Morral Bolso Bebe Mochila Bebesitos ;59900;250;250;buy_it_now;gold_special;True;;MCO74368;Bebés
MCO497301208;Doble Extractor Leche Materna Eléctrico Real Bubee 2019;99999;1;500;buy_it_now;gold_pro;True;;MCO39945;Bebés
MCO565689436;Pijama Bebe Enteriza Beisbol;25900;1;150;buy_it_now;gold_special;True;;MCO31419;Bebés
MCO592516029;Pulpo Reversible Peluche + Perfumado;26770;1;500;buy_it_now;gold_pro;True;;MCO176652;Bebés
MCO497763590;Silla Mecedora, Vibradora Y Musical Para Bebe 3 En 1 Babyon;149900;50;500;buy_it_now;gold_special;True;;MCO71985;Bebés
MCO549014026;Tapete Alfombra Infantil Niños Bebé Gateo Letras 2.00 X 1.80;34490;250;500;buy_it_now;gold_special;True;;MCO420412;Bebés
MCO519829483;Pañalera Multinfuncional Bebe Mochila Morral Bolso Unicornio;79900;50;250;buy_it_now;gold_pro;True;;MCO74368;Bebés
MCO519840033;Extractor Electrico Sacaleches Doble Lactancia  Real Bubee;109900;1;500;buy_it_now;gold_pro;True;;MCO39945;Bebés
MCO535030462;Ropa Bebe Medias Cachemir Para Bebes Media Pantalon Niña ;18000;500;150;buy_it_now;gold_pro;True;;MCO420453;Bebés
MCO575934114;Conjunto Para Bebe Con Bolsillo;14000;100;200;buy_it_now;gold_special;True;;MCO28130;Bebés
MCO589889699;Pulpo Reversible Diferentes Colores Si Hay Disponibilidad;26990;1;500;buy_it_now;gold_pro;True;;MCO176652;Bebés
MCO592989748;Pulpo Reversible Diferentes Colores Envío Inmediato;29990;500;500;buy_it_now;gold_special;True;;MCO176652;Bebés
MCO558638412;Almohada Embarazo Cuerpo Entero - Gris;89900;250;500;buy_it_now;gold_special;True;;MCO181117;Bebés
MCO570417985;Zapatos Niño Hermoso Calzado Nacional Calidad Garantizada;55000;500;200;buy_it_now;gold_special;True;;MCO1400;Bebés
MCO558233671;Pañalera Tipo Morral Multiusos Con Cambiador Baby On!;109900;50;250;buy_it_now;gold_special;True;;MCO74368;Bebés
MCO565691933;Baranda Bium De Cama;59900;1;250;buy_it_now;gold_pro;True;119900.0;MCO420465;Bebés
MCO534284268;Bolsas Almacenamiento Leche Materna Lansinoh | 100 Unidades;79000;1;500;buy_it_now;gold_special;True;102570.0;MCO420372;Bebés
MCO563752335;Zapato Tennis Deportivo Niñas Talla  18 Al 26;28600;1;250;buy_it_now;gold_pro;True;;MCO1400;Bebés
MCO536096623;Silla Mecedora Vibradora Musical Y Anti Reflujo 3 En 1 Ibaby;149800;1;500;buy_it_now;gold_special;True;;MCO71985;Bebés
MCO583202510;Acondicionador Johnsobaby Vitamina 400ml - mL a $42;16600;1;3;buy_it_now;gold_special;True;;MCO173189;Bebés
MCO570236316;Conjunto Para Bebe Estampado;14000;50;250;buy_it_now;gold_special;True;;MCO28130;Bebés
MCO519014663;Pañal Ecológico Re Utilizable - Unidad a $17000;17000;500;500;buy_it_now;gold_special;True;;MCO179991;Bebés
MCO475534959;Pañalera Bebé Tipo Morral Modelo Nuevo Original Envío Gratis;85000;50;500;buy_it_now;gold_special;True;;MCO74368;Bebés
MCO554576312;Fular Cargador Elastico Para Bebe Baby On Wrap;59900;50;500;buy_it_now;gold_special;True;;MCO40402;Bebés
MCO523842456;Balacas, Turbantes, Cintillos, Moño Diademas, Ropa Bebé Niña;4900;50;250;buy_it_now;gold_pro;True;;MCO420436;Bebés
MCO469202032;Individual Plato Silicona Bebe, Antideslizante 7 Colores;23900;100;500;buy_it_now;gold_special;True;;MCO420402;Bebés
MCO478971084;Forro Plastico Protector De Lluvia Coche Para Bebe Negro;17900;1;500;buy_it_now;gold_pro;True;;MCO420281;Bebés
MCO566833918;Proteccion Del Bebe Esquineros En Silicona Por 8 Unds;19500;1;250;buy_it_now;gold_pro;True;;MCO173184;Bebés
MCO460482380;Gimnasio Corral Piscina De Pelotas Juego Para Tu Bebé;155000;1;500;buy_it_now;gold_special;True;;MCO27814;Bebés
MCO527711669;Body Elegante Bebé Niña Mono Mameluco Flores Rojo Fiesta;47000;50;200;buy_it_now;gold_pro;True;;MCO10209;Bebés
MCO547801337;Pañalera Para Bebe Tipo Morral Multifuncional. Termica. ;80000;50;250;buy_it_now;gold_special;True;;MCO74368;Bebés
MCO507358090;Cuchara Tetero Bebés Contenedor Disponible Varios Colores;15900;50;500;buy_it_now;gold_special;True;;MCO420400;Bebés
MCO489351738;Conjunto Sudadera Doble Faz Para Niña Y Niño;53900;500;250;buy_it_now;gold_pro;True;;MCO39956;Bebés
MCO555828781;Oso Panda De Peluche Gigante 1,40 Metros + Envío Gratis Perf;169900;500;250;buy_it_now;gold_pro;True;;MCO176652;Bebés
MCO558608316;Coche Para Bebe Reversible Con Cubrepies,toldillo, Pañalera ;189000;50;250;buy_it_now;gold_special;True;;MCO15047;Bebés
MCO570604470;Tapete Alfombra Foamy Para Bebe 10 Piezas Letras;20900;50;250;buy_it_now;gold_pro;True;;MCO420412;Bebés
MCO538825011;Baberos Bebé Bandana  Bufanda  Triangular Algodón;6400;1;250;buy_it_now;gold_pro;True;;MCO420433;Bebés
MCO461101012;Sujeta Cabeza Bebes Silla Carro Apoyo Dormir Soporte;13900;1;250;buy_it_now;gold_special;True;;MCO8814;Bebés
MCO536600023;Pañalera Morral Multiusos Con Cambiador ;108900;1;250;buy_it_now;gold_special;True;;MCO74368;Bebés
MCO560965480;Semanario Bebe 21 Piezas (7 Camisas 7 Pantalones 7 Gorros);45000;1;200;buy_it_now;gold_special;True;;MCO39956;Bebés
MCO463661246; Mesa Silla Comedor Para Bebé 2 En 1   Tipo Escritorio Ebaby;309000;1;250;buy_it_now;gold_special;True;;MCO40554;Bebés
MCO479636544;Tapete Alfombra Infantil Niños Bebé Gateo Letras 2.00 X 1.80;34900;1;500;buy_it_now;gold_pro;True;;MCO420412;Bebés
MCO574746106;Silla Comedor Para Bebe Multifuncional 5 En 1 + Obsequio;189900;150;150;buy_it_now;gold_special;True;;MCO40554;Bebés
MCO454866961;Body Mameluco Enterizo Bebe Disfraz Militar Colombia Niño;22999;500;50;buy_it_now;gold_special;True;;MCO10209;Bebés
