id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO507883685;Plumones Doble Punta Staedtler Twin-tip Pen, Caja X36;47100;1;500;buy_it_now;gold_special;new;True;;MCO172631;5_green;platinum;0.99;0.0;0.01;False;False;5;False;12;2020;2019;04;553;Arte, Papelería y Mercería
MCO513434416;Tablero Acrílico Blanco Borrable 120 X 80cm + Portaborrador;76900;500;500;buy_it_now;gold_pro;new;True;;MCO168370;5_green;platinum;0.96;0.02;0.02;True;False;5;False;05;2019;2019;05;722;Arte, Papelería y Mercería
MCO570929580;Crayola Marcador Lavable Super Tips 100 Unidades Originales;120000;1;150;buy_it_now;gold_special;new;True;;MCO172631;5_green;platinum;0.96;0.02;0.02;True;False;4;False;07;2020;2020;07;74;Arte, Papelería y Mercería
MCO499057490;Papel Fotográfico Adhesivo Brillante Autoadhesivo X 50 Hojas;16800;1;500;buy_it_now;gold_pro;new;True;;MCO416637;5_green;platinum;0.99;0.0;0.01;False;False;7;False;07;2020;2018;12;293;Arte, Papelería y Mercería
MCO539332669;Colores Prismacolor Junior Redondos Caja X48 Punta 4mm;60900;50;200;buy_it_now;gold_special;new;True;;MCO172626;5_green;platinum;0.95;0.03;0.02;False;False;6;True;09;2020;2019;11;28;Arte, Papelería y Mercería
MCO539935721;Tablero Acrílico Borrable Cuadriculado 120x80cm+portaborrado;89900;500;500;buy_it_now;gold_special;new;True;;MCO168370;5_green;platinum;0.96;0.02;0.02;True;False;4;False;02;2020;2020;01;341;Arte, Papelería y Mercería
MCO506439763;Brush Letter Staedtler Estuche X12;34000;1;500;buy_it_now;gold_special;new;True;;MCO172631;5_green;platinum;0.99;0.0;0.01;False;False;5;False;12;2020;2019;03;213;Arte, Papelería y Mercería
MCO519929034;Tablero Acrílico Blanco Borrable 70 X 50cm + Portaborrador;54900;500;500;buy_it_now;gold_pro;new;True;;MCO168370;5_green;platinum;0.96;0.02;0.02;True;False;5;False;05;2019;2019;07;125;Arte, Papelería y Mercería
MCO474921110;Lápiz Staedtler Mars Lumograph - Unidad a $4600;4600;200;500;buy_it_now;gold_special;new;True;;MCO172626;5_green;platinum;0.99;0.0;0.01;False;False;5;False;12;2020;2018;07;274;Arte, Papelería y Mercería
MCO564070555;Crayola Marcador Lavable Super Tips 50 Unidades Originales;70000;1;150;buy_it_now;gold_special;new;True;;MCO172631;5_green;platinum;0.96;0.02;0.02;True;False;5;False;09;2020;2020;05;68;Arte, Papelería y Mercería
MCO562644181;Combo Lienzo Caballete Pinturas Oleo Pinceles Y Paleta ;119000;50;500;buy_it_now;gold_pro;new;True;;MCO381332;5_green;gold;0.93;0.04;0.03;True;False;5;False;08;2020;2020;04;479;Arte, Papelería y Mercería
MCO563915186;Kit 12 Pinturas Acrilicas + 6 Metálizadas Orocolor Nail Art ;54900;150;150;buy_it_now;gold_pro;new;True;;MCO441911;5_green;gold;0.98;0.01;0.01;True;False;5;False;05;2020;2020;06;106;Arte, Papelería y Mercería
