id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MCO548989931;Espejo Retrovisor Punto Ciego 360 Grados  - 2 Unidades;11000;100;500;buy_it_now;gold_special;True;;MCO174843;Accesorios para Vehículos
MCO508601525;Forro Sillas Funda Protector Mascota Cobertor Carro Perro;39900;150;500;buy_it_now;gold_special;True;;MCO178000;Accesorios para Vehículos
MCO509093160;Radio Carro Bluetooth + Camara Usb Sd Pantalla 7 Hd Mod 2020;230900;1;500;buy_it_now;gold_special;True;349900.0;MCO429530;Accesorios para Vehículos
MCO580695899;Casco Moto Integral Pro Tork New Liberty Four R8 Certificado;84900;250;500;buy_it_now;gold_special;True;129900.0;MCO21947;Accesorios para Vehículos
MCO547297635;Espejo Retrovisor Punto Ciego 360  Convexo - 2 Unidades;18000;100;250;buy_it_now;gold_special;True;;MCO174843;Accesorios para Vehículos
MCO464935021;Kit Panel Solar+4 Bombillos+batería+linterna Autos Cargador;89900;1;500;buy_it_now;gold_special;True;;MCO87923;Accesorios para Vehículos
MCO560749645;Radio Carro Bluetooth + Camara Usb Sd Pantalla 7 Hd Mod 2020;239900;1;500;buy_it_now;gold_special;True;;MCO3387;Accesorios para Vehículos
MCO551840617;2 Exploradoras 6 Led 12000lm 72w Fija Estrober Switch Gratis;50900;50;500;buy_it_now;gold_special;True;;MCO90578;Accesorios para Vehículos
MCO567848869;Maleta Rígida Tegde Porta Casco Para Moto Muscle;179900;50;5;buy_it_now;gold_special;True;239900.0;MCO437375;Accesorios para Vehículos
MCO552296221;Pera O Pomo Chevrolet Sonic/ Cobalt/ Ónix;29900;1;200;buy_it_now;gold_special;True;;MCO430088;Accesorios para Vehículos
MCO464124554;Combo 2 Forros Protector Sillas Carro Auto Mascota Perro;49900;100;500;buy_it_now;gold_special;True;;MCO178000;Accesorios para Vehículos
MCO531060824;Radio Para Carro Bluetooth Usb Micro Sd Auxiliar 3.5mm 50x4;68900;1;500;buy_it_now;gold_special;True;;MCO429530;Accesorios para Vehículos
MCO580696454;Casco Moto Pro Tork New Liberty 4 Certificado;59900;500;250;buy_it_now;gold_special;True;79900.0;MCO21947;Accesorios para Vehículos
