id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO535187187;Soporte Acrílico Para Árbol De Globos Base Para Globos ;8999;500;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;07;2020;2019;09;494;Recuerdos, Piñatería y Fiestas
MCO458367604;Recordatorio Suculenta: Baby Bautizo Primera Comunion Boda;88500;500;500;buy_it_now;gold_special;new;True;;MCO8591;5_green;gold;0.98;0.01;0.01;True;False;5;False;06;2019;2017;10;405;Recuerdos, Piñatería y Fiestas
MCO465527132;Inflador De Globos Electrico 600 Watts Doble Boquilla;70000;1;500;buy_it_now;gold_pro;new;True;;MCO432170;5_green;platinum;0.91;0.05;0.04;True;False;4;False;06;2019;2018;03;1298;Recuerdos, Piñatería y Fiestas
MCO563734766;Decoración Feliz Cumpleaños Oro Rosa Cortinas Bombas Guirnal;26999;500;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;6;False;07;2020;2020;05;650;Recuerdos, Piñatería y Fiestas
MCO509288565;Globos  R12  50 Unidades Metalizados;15000;500;500;buy_it_now;gold_special;new;True;;MCO435877;5_green;silver;0.95;0.03;0.02;False;False;4;False;04;2020;2019;04;670;Recuerdos, Piñatería y Fiestas
MCO481746682;Globo De Los Deseos Aerostático Farolillos  Eventos;6999;50000;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;silver;0.91;0.04;0.05;False;False;5;False;08;2018;2018;09;391;Recuerdos, Piñatería y Fiestas
MCO580108907;Inflador Bombas Electrico Potente Fiestas Decoración ;65900;50;250;buy_it_now;gold_special;new;True;;MCO432170;5_green;gold;0.98;0.01;0.01;True;False;4;False;08;2020;2020;09;60;Recuerdos, Piñatería y Fiestas
MCO564078133;Álbum Fotográfico Hojas 32cm X 25cm Cap 400 A 500 Fotos;75000;1;250;buy_it_now;gold_special;new;True;;MCO8591;5_green;platinum;0.97;0.01;0.02;True;False;5;False;10;2020;2020;05;79;Recuerdos, Piñatería y Fiestas
MCO473772589;Globos Aerostáticos De Los Deseos Cantoya Bodas Hora Loca;4999;500;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;10;2020;2018;06;190;Recuerdos, Piñatería y Fiestas
MCO579767463;Globos Cromado Espejo Reflex R12 Metalizado X 50 Unidades ;24999;500;250;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;08;2020;2020;08;195;Recuerdos, Piñatería y Fiestas
MCO560109277;Pitillo Reutilizable Metalico En Acero - Ecológicos + Funda;5900;500;250;buy_it_now;gold_special;new;True;;MCO430983;5_green;gold;0.97;0.01;0.02;False;False;5;False;04;2020;2020;04;66;Recuerdos, Piñatería y Fiestas
MCO560106139;Bouquet De Globos Arreglo De Globos Metalizados Látex X 14;12999;500;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;05;2020;2020;04;746;Recuerdos, Piñatería y Fiestas
MCO504520226;Globos Metalizados Letras Números 40 Cm Dorados Plateados;1500;500;250;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;6;False;02;2019;2019;05;102;Recuerdos, Piñatería y Fiestas
MCO471288121;Recargador Bombas Agua Fiesta Diversion 111 Globos;9000;500;500;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.91;0.06;0.03;False;False;5;False;07;2019;2018;06;99;Recuerdos, Piñatería y Fiestas
MCO503376577;Recordatorio Vela Vidrio Baby Shower Niño Niña Boda Primera;3500;500;250;buy_it_now;gold_special;new;True;;MCO8591;5_green;platinum;0.95;0.02;0.03;False;False;4;False;01;2020;2019;02;459;Recuerdos, Piñatería y Fiestas
MCO574224891;Sonic. ;125000;50;150;buy_it_now;gold_pro;new;True;;MCO118203;1_red;;0.92;0.04;0.04;True;False;4;False;08;2020;2020;08;157;Recuerdos, Piñatería y Fiestas
MCO563663764;Globo Burbuja 18 Pulgadas Transparente Bobo X 50 Unidades;35999;1;250;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;07;2020;2020;05;200;Recuerdos, Piñatería y Fiestas
MCO563533004;Kit Decoración Feliz Cumpleaños Cortinas +bombas + Guirnalda;26999;500;250;buy_it_now;gold_pro;new;True;;MCO435877;5_green;platinum;0.95;0.02;0.03;False;False;5;False;05;2020;2020;05;367;Recuerdos, Piñatería y Fiestas
