id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MLA896584079;Casco Para Moto Integral Halcon H57 Negro Talle Xl ;2231.0;5;21;buy_it_now;gold_special;True;;MLA4712;Accesorios para Vehículos
MLA618949963;Sensores De Estacionamiento Ultrasónico Display Y Sonido !;1544.0;1;500;buy_it_now;gold_special;True;;MLA45905;Accesorios para Vehículos
MLA775138148;Funda Cubre Coche Uv, Impermeable. Bolso Incluido ( S, M, L);1710.0;1;500;buy_it_now;gold_special;True;;MLA72284;Accesorios para Vehículos
MLA899116906;Servicio De Envío Express De Telepase Mercado Pago;520.0;500;5000;buy_it_now;gold_special;True;;MLA455216;Accesorios para Vehículos
MLA634474528;Aceite Motul 8100 X-cess 5w40 X 5 Lts.;3500.0;1;500;buy_it_now;gold_special;True;;MLA375007;Accesorios para Vehículos
MLA705463675;Kit Led Cree S6 32000 Lumens H4 H1 H7 Hb4 H3 H11 H8 Envios;1699.0;250;5000;buy_it_now;gold_special;True;;MLA86681;Accesorios para Vehículos
MLA801358441;Stereo Auto Doble Din Pantalla Tactil Mirrorlink Camara Rev!;7499.0;150;500;buy_it_now;gold_special;True;11999.0;MLA7446;Accesorios para Vehículos
MLA859436031;Funda Cubre Asientos Para Autos 8 Piezas - Speeders;1990.0;50;500;buy_it_now;gold_special;True;;MLA72278;Accesorios para Vehículos
MLA665023923;Parrilla Completa Con Insignia Chevrolet Corsa 2008 A 2010;999.74;1;500;buy_it_now;gold_special;True;;MLA60634;Accesorios para Vehículos
MLA785918507;Kit Led Cree Cob H1 H7 H3 9005 12/24v 2019 C6+ 2 Posicion;999.0;500;5000;buy_it_now;gold_special;True;1400.0;MLA86681;Accesorios para Vehículos
MLA633656490; Eslinga Remolque Rescate Xxl + Grilletes 4x4 9 Metros 10ton;3800.0;100;500;buy_it_now;gold_special;True;;MLA430581;Accesorios para Vehículos
MLA835690204;Kit Bosch Bobina+cables+bujias Vw Gol Trend/suran/fox/voyage;8100.0;1;250;buy_it_now;gold_special;True;;MLA85998;Accesorios para Vehículos
MLA851109741;Carcasa Llave Navaja Peugeot  2 Bot 307 308 C/portapila;799.0;50;500;buy_it_now;gold_special;True;;MLA373345;Accesorios para Vehículos
MLA884081829;Carburador Cortina Plana Competicion 28 30 32 34 Premium Sti;3999.0;50;250;buy_it_now;gold_special;True;6344.0;MLA22655;Accesorios para Vehículos
