id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO452730522;Agujas Para Dermapen De 36 Entrada Presión-entrega Inmediata;3400;500;5000;buy_it_now;gold_special;new;True;;MCO180917;5_green;gold;0.99;0.0;0.01;False;False;6;False;10;2020;2017;09;612.0;Belleza y Cuidado Personal
MCO476071198;Vaselina Hidratante-vaseline Lip Therapy Rosy Lips;6000;150;500;buy_it_now;gold_pro;new;True;;MCO118191;5_green;platinum;0.93;0.04;0.03;False;False;5;False;06;2019;2018;07;432.0;Belleza y Cuidado Personal
MCO471203653;Nueva Plancha Remington Keratina-argan 8599 Original+ob;149000;150;500;buy_it_now;gold_special;new;True;;MCO4598;5_green;platinum;0.98;0.01;0.01;True;False;7;False;05;2020;2018;05;2376.0;Belleza y Cuidado Personal
MCO470852613;Aceite De Coco 1 Litro (1000ml) 100% Nat - mL a $45;44900;250;5000;buy_it_now;gold_pro;new;True;;MCO180916;5_green;platinum;0.96;0.02;0.02;False;False;5;False;09;2020;2018;05;2041.0;Belleza y Cuidado Personal
MCO558642422;Pestañina 4d Slik Fiber Lash Macfee O - mL a $1523;19800;50;500;buy_it_now;gold_pro;new;True;;MCO118200;5_green;platinum;0.93;0.04;0.03;False;False;4;False;04;2020;2020;04;158.0;Belleza y Cuidado Personal
MCO590636902;Cepillo De Dientes Bambú Bamboo E - Unidad a $2000;2000;500;500;buy_it_now;gold_pro;new;True;;MCO181049;5_green;gold;0.9;0.07;0.03;False;False;6;False;12;2020;2020;10;164.0;Belleza y Cuidado Personal
MCO524668076;Pinza Rizador Encrespador Ondulador Curl Perfect Espiral Nov;13800;50;500;buy_it_now;gold_special;new;True;;MCO166643;5_green;platinum;0.89;0.07;0.04;False;False;4;False;07;2019;2019;10;312.0;Belleza y Cuidado Personal
MCO566278825;Tapabocas Ó Mascarilla Nitta N95, - Unidad a $5499;5499;500;5000;buy_it_now;gold_special;new;True;;MCO180999;5_green;gold;0.97;0.02;0.01;False;False;5;False;11;2020;2020;07;88.0;Belleza y Cuidado Personal
MCO574863577;Agujas Cartucho Dermapen 12 - 36 - 42 - Nano Dr Pen Bayoneta;3400;5000;500;buy_it_now;gold_pro;new;True;;MCO180917;5_green;gold;0.98;0.0;0.02;False;False;4;False;08;2020;2020;08;137.0;Belleza y Cuidado Personal
MCO557906562;Pestañina 4d Slik Fiber Lash Oportunidad Al Por Mayor;21000;150;500;buy_it_now;gold_pro;new;True;;MCO118200;5_green;platinum;0.96;0.02;0.02;False;False;6;False;03;2020;2020;04;288.0;Belleza y Cuidado Personal
MCO573499521;Cepillo Dental Bambú Ecológico - Unidad a $1980;1980;500;500;buy_it_now;gold_pro;new;True;;MCO181049;5_green;silver;0.94;0.02;0.04;False;False;4;False;12;2020;2020;07;233.0;Belleza y Cuidado Personal
MCO561784743;Minoxidil Forte Mk Solución Tópica 5% - mL a $948;56899;250;500;buy_it_now;gold_special;new;True;;MCO1266;5_green;platinum;0.95;0.02;0.03;False;False;5;True;09;2020;2020;05;298.0;Belleza y Cuidado Personal
MCO541814548;Tonico Despigmentante / Aclarante - Unidad a $38497;38497;150;500;buy_it_now;gold_pro;new;True;;MCO1259;5_green;platinum;0.99;0.01;0.0;True;False;5;False;08;2020;2019;12;759.0;Belleza y Cuidado Personal
MCO562193325;Plancha Remington Keratina Y Aceite De Argán Original;154900;1;500;buy_it_now;gold_special;new;True;;MCO4598;5_green;platinum;0.97;0.01;0.02;True;False;6;True;05;2020;2020;05;353.0;Belleza y Cuidado Personal
