id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MLA846887617;Máscara De Pestañas L'oréal Paris Paradise Extatic 6.4ml Color Black;1299.0;1;37;buy_it_now;gold_special;True;;MLA29901;Belleza y Cuidado Personal
MLA817530884;Pestañas Magnéticas X 3 Modelos Con Delineador Magnético ;1794.0;1;500;buy_it_now;gold_special;True;;MLA389262;Belleza y Cuidado Personal
MLA784833769;Philips One Blade Afeitadora Recortadora Qp2510 Oneblade;2499.0;250;500;buy_it_now;gold_special;True;2799.0;MLA446228;Belleza y Cuidado Personal
MLA872785614;Zenza Cream - Revolucionaria Crema Anti-edad;3420.0;500;500;buy_it_now;gold_special;True;3600.0;MLA392452;Belleza y Cuidado Personal
MLA713272113;Bio Oil Tratamiento Para Cicatrices, Estrías, Manchas 125 Ml;720.19;250;500;buy_it_now;gold_special;True;1200.32;MLA392452;Belleza y Cuidado Personal
MLA846806250;Luvion Potion Beauty. Colageno Puro . Luvion Oficial;1996.0;500;500;buy_it_now;gold_special;True;;MLA392701;Belleza y Cuidado Personal
MLA708562123;Amope Máquina Lima Exfoliador Electrónico Para Pies;801.0;5000;500;buy_it_now;gold_special;True;1602.0;MLA411087;Belleza y Cuidado Personal
MLA618359611;Electroestimulador Tekmedical - Multi Ondas - 16 Electrodos;21492.0;200;5000;buy_it_now;gold_special;True;31642.0;MLA393757;Belleza y Cuidado Personal
MLA860096181;Secador De Pelo 1900w - Tedge;2270.0;500;250;buy_it_now;gold_special;True;2399.0;MLA4597;Belleza y Cuidado Personal
MLA858918711;Eva Copa Copita Menstrual Silicona Reutilizable Ecológica;1099.0;250;500;buy_it_now;gold_special;True;1295.0;MLA409597;Belleza y Cuidado Personal
MLA818304235;Torno Para Uñas Profesional Teknikpro Student Manicuria Uñas;3490.0;1;500;buy_it_now;gold_special;True;;MLA412504;Belleza y Cuidado Personal
MLA753989655;Fotoprotector Isdin Spf 50+ Fusion Water Con Color Oil Free Toque Seco;1276.0;50;500;buy_it_now;gold_special;True;1597.0;MLA392400;Belleza y Cuidado Personal
MLA859584568;Afeitadora Inalámbrica Cable Usb Incluye Accesorios - Tedge;1718.0;500;100;buy_it_now;gold_special;True;2290.0;MLA431603;Belleza y Cuidado Personal
MLA859583142;Afeitadora Eléctrica Con Cable Incluye Accesorios - Tedge;1665.0;500;500;buy_it_now;gold_special;True;2490.0;MLA431603;Belleza y Cuidado Personal
MLA828588863;Tensioactivo Sci 1 Kg Para Fabricación De Shampoo Sólido ;1850.0;5000;500;buy_it_now;gold_special;True;;MLA29895;Belleza y Cuidado Personal
MLA724138963;Base Cubritiva True Match Fdt Loreal Paris;1198.0;250;500;buy_it_now;gold_special;True;1598.0;MLA29871;Belleza y Cuidado Personal
MLA617582258;Maletín Porta Cosméticos Maquillaje Aluminio Grande 6 Bandejas;4540.0;1;500;buy_it_now;gold_special;True;;MLA389336;Belleza y Cuidado Personal
MLA827602731;Afeitadora Philips S1121/41 Uso Seco Y Humedo Inalambrica;4499.0;50;500;buy_it_now;gold_special;True;;MLA431603;Belleza y Cuidado Personal
MLA611569191;Maquina Cortar Pelo Wahl Homepro Basic 8 Accesorios;1990.0;100;500;buy_it_now;gold_special;True;2490.0;MLA5411;Belleza y Cuidado Personal
MLA730348671;Olaplex Hair Perfector Paso 3 X 100 Ml;3150.0;1;500;buy_it_now;gold_special;True;;MLA29895;Belleza y Cuidado Personal
MLA813812157; Gel Moussant Bioderma Sensibio Calma Pieles Rosaseas 500 Ml;2456.0;1;500;buy_it_now;gold_special;True;2890.0;MLA392452;Belleza y Cuidado Personal
MLA867464818;Gorro Siliconado Dompel Clarito Mechas Iluminación + Aguja ;1499.0;50;500;buy_it_now;gold_special;True;;MLA400952;Belleza y Cuidado Personal
MLA730849803;Corrector Antiarrugas Instant Age Rewind Eraser Maybelline;778.0;250;500;buy_it_now;gold_special;True;973.0;MLA29875;Belleza y Cuidado Personal
MLA856175289;Set Antiedad Regina Serum Vitamina C & Hialuronico;4412.25;150;500;buy_it_now;gold_pro;True;5883.0;MLA432665;Belleza y Cuidado Personal
MLA864410731;Maquina De Cortar Pelo Home Cut Combo Black 14 Piezas Wahl;3490.0;100;500;buy_it_now;gold_special;True;3990.0;MLA5411;Belleza y Cuidado Personal
