id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MLA759579514;Cartas Tarot Rider-waite 78 Cartas Exclusivo-iluminarte;499.0;1;500;buy_it_now;gold_special;True;;MLA414133;Otras categorías
MLA701566195;Riser Pci-e 16x A 1x - Ext X Usb 60cm - Mineria V 008s - Rig;3150.0;200;500;buy_it_now;gold_special;True;;MLA416801;Otras categorías
MLA795954507;Cartas Mazo Tarot Marsella + Guía Básica - Arcana Caeli;499.0;1;500;buy_it_now;gold_special;True;;MLA414133;Otras categorías
MLA850751996;Sahumerios Satya Nag Champa - 12 Unidades;1281.28;5000;500;buy_it_now;gold_special;True;;MLA387586;Otras categorías
MLA839689633; Sahumerios Conos Inversos Cascada X 100 Unidades - ;470.0;1;500;buy_it_now;gold_special;True;;MLA387586;Otras categorías
MLA870774811;Sahumerios Conos Cascadas 1 Pack X 100 Unidades - Latin  Srl;349.0;50;500;buy_it_now;gold_special;True;;MLA387586;Otras categorías
MLA871359669;Fuente Cascada Humo Porta Conos Decorativa - Llama Sagrada ;375.0;1;500;buy_it_now;gold_special;True;;MLA413742;Otras categorías
MLA759581327;Tarot Marselles, Cartas / Baraja 78 Cartas.gran Calidad;499.0;50;500;buy_it_now;gold_special;True;;MLA414133;Otras categorías
MLA723692174;Sahumerios Nag Champa;1210.0;500;500;buy_it_now;gold_special;True;;MLA387586;Otras categorías
MLA885236236; Riser Pci-e 10x A 1 X  6c Usb 3.0 60cm Cripto Minería;2400.0;1;150;buy_it_now;gold_special;True;;MLA416801;Otras categorías
MLA875528900;Sahumerios Sagrada Madre Pack X 6 Unidades  - Llama Sagrada;999.0;1;250;buy_it_now;gold_special;True;;MLA387586;Otras categorías
MLA875513412;Bombitas Defumación Activada Sagrada Madre Pack X 8 Cajas;1399.0;1;200;buy_it_now;gold_special;True;;MLA387586;Otras categorías
