id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MLA900834600;Smart Tv Noblex Dj43x5100 Led Full Hd 43 ;33199.0;32;7;buy_it_now;gold_special;True;;MLA1002;Electrónica, Audio y Video
MLA853211072;Auriculares Vincha Bluetooth Inalámbrico Con Cable Tedge;2564.0;200;500;buy_it_now;gold_special;True;2999.0;MLA3697;Electrónica, Audio y Video
MLA836361291;Auriculares Bluetooth F9 Tws Mejor Que Xiaomi Earpods ;2799.0;250;5000;buy_it_now;gold_special;True;3458.0;MLA3697;Electrónica, Audio y Video
MLA856099318;Kit Completo Tira Luces Luz Led 5050 Rgb + Control + Fuente;2950.0;250;5000;buy_it_now;gold_special;True;;MLA12849;Electrónica, Audio y Video
MLA698172847;Soporte Para Micrófono Brazo Estudio Condenser Profesional;1980.0;150;500;buy_it_now;gold_special;True;2199.99;MLA91836;Electrónica, Audio y Video
MLA859576107;Parlante Portátil 8w Bluetooth Control Micrófono 8 Pulgadas;4746.0;500;500;buy_it_now;gold_special;True;5499.0;MLA8618;Electrónica, Audio y Video
MLA812438734;Smart Tv 60 Pulgadas 4k Uhd Ultra Hd Youtube Netflix Cuotas Sin Interes;68599.0;1;500;buy_it_now;gold_special;True;102899.0;MLA1002;Electrónica, Audio y Video
MLA840417315;Smart Tv 43 Pulgadas Full Hd - Tedge;32999.0;500;500;buy_it_now;gold_pro;True;34999.0;MLA1002;Electrónica, Audio y Video
MLA880553518;Auriculares Inalámbricos Xiaomi Redmi Airdots 2 Original ;2495.0;250;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
MLA884683677;Smart Tv Samsung 50 4k Uhd 50tu7000;59999.0;250;250;buy_it_now;gold_pro;True;;MLA1002;Electrónica, Audio y Video
MLA872406935;Auriculares Bluetooth F9-5 Plus Tws Tactil 5hs D Musica Gtia;2698.2;100;500;buy_it_now;gold_special;True;2998.0;MLA3697;Electrónica, Audio y Video
MLA885495289;Smart Tv Samsung 43 4k Uhd 43tu7000;51999.0;100;250;buy_it_now;gold_pro;True;;MLA1002;Electrónica, Audio y Video
MLA842511249;Soporte Para Televisión De 26 A 55 Pulgadas Tedge;2365.0;5000;500;buy_it_now;gold_pro;True;2490.0;MLA41925;Electrónica, Audio y Video
MLA609850545;Soporte Para Led Triple Brazo Articulado 40 32 43 Economico;1899.0;500;5000;buy_it_now;gold_special;True;;MLA41925;Electrónica, Audio y Video
MLA773443024;Receptor Bluetooth A Entrada Auxiliar Recargable Spotify ;349.99;100;5000;buy_it_now;gold_special;True;;MLA44388;Electrónica, Audio y Video
MLA837384736;Auriculares Deportivos Bluetooth Vincha Tedge;1994.0;500;500;buy_it_now;gold_pro;True;2099.0;MLA3697;Electrónica, Audio y Video
MLA881915941;Soporte Tv Monitor Soporte 14 A 55 Pulgadas Brazo Articulado;1399.0;150;500;buy_it_now;gold_special;True;1499.0;MLA41925;Electrónica, Audio y Video
MLA698104012;Lampara Led 220v Color Rgb Giratoria Luces Efectos Fiestas;289.0;50;5000;buy_it_now;gold_special;True;;MLA417361;Electrónica, Audio y Video
MLA831975827;Sonoff Interruptor Wifi Para Domótica - Basic Smart Switch;1900.0;50;500;buy_it_now;gold_pro;True;;MLA3698;Electrónica, Audio y Video
MLA797020994;Emisor Transmisor Receptor Bluetooth Audio Tv Smart Btaudio ;899.0;500;500;buy_it_now;gold_special;True;;MLA44388;Electrónica, Audio y Video
MLA896874578;Smart Tv Led Noblex 43 Full Hd Dm43x7100 Hdmi Gtia Oficial;34990.0;100;250;buy_it_now;gold_special;True;;MLA1002;Electrónica, Audio y Video
MLA885041279;Auriculares Inalámbricos Soundpeats Trueair 2 Bluetooth 5.2;4490.0;1;250;buy_it_now;gold_special;True;4789.0;MLA3697;Electrónica, Audio y Video
MLA763356977;Parlante Karaoke Bluetooth Potente 3000wts Luces + Micrófono;5749.0;500;500;buy_it_now;gold_special;True;6999.0;MLA8618;Electrónica, Audio y Video
MLA859579249;Parlante Karaoke Portátil 8w Bluetooth Micrófono 12 Pulgadas;7401.0;500;500;buy_it_now;gold_special;True;9999.0;MLA8618;Electrónica, Audio y Video
MLA853215467;Parlante Y Reloj Despertador Inalámbrico - Tedge;1899.0;1;500;buy_it_now;gold_special;True;1999.0;MLA91732;Electrónica, Audio y Video
MLA822780037;Auriculares Bluetooth F9 Tws 4hs De Musica + Power Bank;2798.0;1;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
MLA782706781;Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente;5879.0;50;5000;buy_it_now;gold_special;True;;MLA352001;Electrónica, Audio y Video
MLA873117169;Pilas Duracell Aa X16 Unidades - Oferta En Sweet Market;769.0;500;500;buy_it_now;gold_special;True;;MLA6384;Electrónica, Audio y Video
MLA790662625;Soporte Escritorio Led Monitor Tv Brazo 19 20 21 22 23 24 27;4800.0;250;500;buy_it_now;gold_special;True;;MLA41925;Electrónica, Audio y Video
MLA851064312;Pila 2032 5 Unidades Maxell;227.65;250;500;buy_it_now;gold_special;True;;MLA6384;Electrónica, Audio y Video
MLA815764809;Auricular Bluetooth Vincha Sd Radio Fm Inalambrico Deportivo;1099.0;50;500;buy_it_now;gold_special;True;1500.0;MLA3697;Electrónica, Audio y Video
MLA617119556;Soporte Para Led Lcd Fijo 42 43 48 50 55 60 65 Economico;759.05;500;5000;buy_it_now;gold_special;True;799.0;MLA41925;Electrónica, Audio y Video
MLA878024478;Auriculares Xiaomi Redmi Airdots S Ultimo Modelo Inalambrico;2790.0;150;500;buy_it_now;gold_special;True;2990.0;MLA3697;Electrónica, Audio y Video
MLA863118530;Auriculares Inalambrico Haylou Gt1 Plus Bluetooth 5.0 Táctil;3299.0;200;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
MLA614883513;Soporte Para Led Smart Iofi Móvil Articulado 43 42 40 39 32;2099.0;250;5000;buy_it_now;gold_special;True;;MLA41925;Electrónica, Audio y Video
MLA820615641;Lampara Led Rgb 220v Parlante Bluetooth;1079.0;1;500;buy_it_now;gold_special;True;1400.0;MLA417361;Electrónica, Audio y Video
MLA798175839;Soporte Led Tv Lcd Smart Articulado Doble Brazo Reforzado 32 40 42 43 46 47 49 50 52 55 60 65 75 Pulgadas!;5199.0;200;500;buy_it_now;gold_pro;True;;MLA41925;Electrónica, Audio y Video
MLA809321857;Auriculares In Ear Inalámbrico Bluetooth | Touch | Deportivo | Resistente Al Agua | F9 Tws Premium - Garantía Gamer24hs;2920.0;250;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
MLA877476405;Auriculares Bluetooth Xiaomi Earbuds Basic 2 Redmi Airdots 2;2799.0;250;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
MLA876010126;Auriculares Inalámbricos Soundpeats Truewings Bluetooth;5299.0;1;250;buy_it_now;gold_special;True;5917.0;MLA3697;Electrónica, Audio y Video
MLA776626407;Estacion De Soldado Pistola Aire Smd Soldador Apagado Auto;10999.0;150;500;buy_it_now;gold_special;True;;MLA380652;Electrónica, Audio y Video
MLA718859212;Soporte Tv Led 32 Brazo Móvil 10 18 20 22 24 Lcd Smart Noblex Philips Sony Samsung LG Hisense Rca Philco Hitachi Philips;1090.0;500;5000;buy_it_now;gold_special;True;;MLA41925;Electrónica, Audio y Video
MLA795036651;Adaptador De Vga A Hdmi;690.0;50;500;buy_it_now;gold_special;True;;MLA430537;Electrónica, Audio y Video
MLA761059718;Parlante Bluetooth Inalambrico Karaoke Max Potencia Usb Sd;6499.0;200;500;buy_it_now;gold_special;True;9000.0;MLA8618;Electrónica, Audio y Video
MLA880742482;Auriculares Bluetooth Luz Led Orejas Cat Oferta ;3715.0;250;500;buy_it_now;gold_special;True;;MLA3697;Electrónica, Audio y Video
