id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO559432284;Hidrolavadora Presión 127v 60hz 1400w Klatter;209900;150;200;buy_it_now;gold_special;new;True;359900.0;MCO166618;5_green;platinum;0.96;0.02;0.02;True;False;5;True;11;2020;2020;11;95.0;Agro
MCO517056513;Planta Eléctrica Jd1200 1 Kw Sukra Sku39625;706900;1;50;buy_it_now;gold_special;new;True;927132.0;MCO113731;5_green;platinum;0.93;0.04;0.03;True;False;5;True;05;2020;2019;06;399.0;Agro
MCO544179369;Hidrolavadora Mccarthy 1305 Psi + Acople Rápido ;179900;100;500;buy_it_now;gold_special;new;True;;MCO166618;5_green;platinum;0.94;0.03;0.03;True;False;5;False;09;2020;2020;01;483.0;Agro
MCO451304125;Termómetro Horno Cocina Industrial Acero Inoxidable 350°;19700;1;500;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.96;0.02;0.02;False;False;6;False;07;2019;2017;06;440.0;Agro
MCO515600007;Orejera (chapeta) Para Ganado Bovino Personalizada A Laser;2990;250;500;buy_it_now;gold_pro;new;True;;MCO74404;5_green;gold;0.97;0.01;0.02;True;False;3;False;01;2020;2019;06;170.0;Agro
MCO569200411;Hidrolavadora Mccarthy  + 10 Metros De Manguera + Acoples ;199900;100;250;buy_it_now;gold_special;new;True;;MCO166618;5_green;platinum;0.94;0.03;0.03;True;False;4;False;09;2020;2020;07;168.0;Agro
MCO474483518;Termohigrometro Digital Sonda Termo Higrometro Termometro;13000;1;500;buy_it_now;gold_special;new;True;;MCO166629;5_green;platinum;0.96;0.02;0.02;False;False;6;False;12;2020;2018;07;488.0;Agro
MCO468410465;Planta Electrica Generador 12.000 Watts Ipower Gasolina A/e;4999900;1;5;buy_it_now;gold_special;new;True;;MCO113731;5_green;platinum;0.96;0.02;0.02;True;False;4;False;09;2019;2018;04;286.0;Agro
MCO453264431;Orejera (chapeta) Para Ganado Bovino;1840;500;5000;buy_it_now;gold_pro;new;True;;MCO74404;5_green;gold;0.97;0.01;0.02;False;False;4;False;07;2019;2017;08;281.0;Agro
MCO526158530;Htc2. Termohigrometro Digital  Sonda Temp , Humedad, L;35600;1;500;buy_it_now;gold_pro;new;True;;MCO166629;5_green;gold;0.97;0.01;0.02;False;False;5;False;06;2020;2019;07;466.0;Agro
MCO457369743;Termómetro Horno Interno Industrial Casa Acero Inoxidable;19700;1;500;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.96;0.02;0.02;False;False;6;False;07;2019;2017;11;305.0;Agro
MCO477184722;Hidrolavadora Eléctrica Karcher K1 Mx 1450psi, 270l/h.;289000;1;200;buy_it_now;gold_special;new;True;319000.0;MCO166618;5_green;platinum;0.96;0.02;0.02;True;False;6;False;07;2019;2019;05;72.0;Agro
MCO559455367;Soldadora 100 Amp + Visor Klatter;239900;250;150;buy_it_now;gold_special;new;True;329900.0;MCO167011;5_green;platinum;0.96;0.02;0.02;True;False;6;True;12;2020;2020;11;380.0;Agro
MCO515180545;Termometro Digital Lcd Refrigerador Nevera Ambiente Baño Agu;6900;500;500;buy_it_now;gold_special;new;True;;MCO166629;5_green;platinum;0.95;0.02;0.03;False;False;4;False;07;2019;2019;05;149.0;Agro
MCO574335807;Reloj Termohigrometro Digital Sonda Temperatura Humedad Htc2;31900;250;250;buy_it_now;gold_special;new;True;;MCO166629;5_green;platinum;0.95;0.02;0.03;False;False;5;False;08;2020;2020;08;73.0;Agro
MCO478452835;Kit Panel Solar + Batería +6 Bombillos Para Tv Carga Cel;499000;1;50;buy_it_now;gold_special;new;True;;MCO177589;5_green;platinum;0.94;0.03;0.03;False;False;4;False;11;2020;2018;06;937.0;Agro
MCO564925886;Hidrolavadora Karcher K2 Basic Car 1600 Psi 4.6 Lts/minuto;349900;50;500;buy_it_now;gold_special;new;True;479900.0;MCO166618;5_green;gold;0.92;0.04;0.04;True;False;6;True;11;2020;2020;01;153.0;Agro
MCO477969593;Termómetro Digital Nevera Refrigerador Acuario Carro+pilas;9800;50;500;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.97;0.02;0.01;False;False;4;False;11;2020;2018;07;374.0;Agro
MCO513260274;Hidrolavadora 1200w 1450 Psi Black & Decker Bw13-b3;316600;1;200;buy_it_now;gold_special;new;True;;MCO166618;5_green;platinum;0.97;0.02;0.01;True;False;4;True;06;2019;2019;05;155.0;Agro
MCO500260879;Termohigrometro Digital Sonda Medidor Humedad Higrometro ;30000;50;250;buy_it_now;gold_special;new;True;;MCO372016;5_green;platinum;0.96;0.02;0.02;False;False;6;False;11;2020;2019;01;154.0;Agro
MCO571614155;Soldador Furius Mini Fix 181 + Careta Fotosencible Negra Mat;494900;1;100;buy_it_now;gold_special;new;True;;MCO167011;5_green;platinum;0.98;0.01;0.01;True;False;5;False;11;2020;2020;07;99.0;Agro
MCO464851476;Termometro Digital Higrometro Humedad  Htc-1;30000;1;250;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.99;0.01;0.0;False;False;5;False;02;2020;2019;01;116.0;Agro
MCO471125934;Generador Portátil A Gasolina 950w Elite 2g950;492000;1;50;buy_it_now;gold_special;new;True;;MCO113731;5_green;platinum;0.97;0.02;0.01;True;False;5;True;06;2019;2018;05;484.0;Agro
MCO451859847;Termómetro Digital Nevera Refrigerador Acuario Sonda X1;10700;1;500;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.96;0.02;0.02;False;False;6;False;06;2019;2017;07;185.0;Agro
MCO564198094;Termómetro Horno Cocina Industrial Acero Inoxidable 350°;19700;50;200;buy_it_now;gold_special;new;True;;MCO166629;5_green;gold;0.97;0.02;0.01;False;False;6;False;09;2020;2020;06;31.0;Agro
MCO562501041;Pistola Termómetro Digital Infrarrojo Temperatura Distancia ;68000;1;150;buy_it_now;gold_pro;new;True;;MCO166629;5_green;gold;0.96;0.02;0.02;True;False;4;False;07;2020;2020;05;52.0;Agro
MCO519789948;Hidrolavadora Stanprof 1400w 1160 Pci - Alta Potencia;195902;250;500;buy_it_now;gold_special;new;True;299128.0;MCO166618;5_green;platinum;0.93;0.04;0.03;True;False;4;True;10;2020;2019;07;1037.0;Agro
MCO533582301;Equipo De Soldadura Soldador Inversor 250 Amperios Nuevos;629900;1;100;buy_it_now;gold_special;new;True;;MCO167011;5_green;gold;0.96;0.02;0.02;True;False;4;False;10;2020;2019;09;297.0;Agro
MCO596466695;Hidrolavadora Alta Presión Sukra Sk202 - 1595psi-1400w;194900;200;50;buy_it_now;gold_special;new;True;299128.0;MCO166618;5_green;platinum;0.93;0.04;0.03;True;False;5;True;11;2020;2020;12;52.0;Agro
MCO526861594;Cautin Profesional Tipo Lápiz Temperatura Ajustable Kit Pro;56000;1;250;buy_it_now;gold_special;new;True;;MCO167011;5_green;gold;0.97;0.01;0.02;False;False;5;False;08;2020;2019;08;347.0;Agro
MCO509163408;Planta Portátil Gasolina 2.5kw 110v Elite 2g25;1190000;1;5;buy_it_now;gold_special;new;True;;MCO113731;5_green;platinum;0.97;0.02;0.01;True;False;5;False;09;2020;2019;04;89.0;Agro
MCO580283247;Termometro Digital Punzon Ta-288 Rango-50c-300c;9900;250;100;buy_it_now;gold_special;new;True;;MCO166629;5_green;platinum;0.95;0.02;0.03;False;False;6;False;08;2020;2020;09;17.0;Agro
MCO451713077;Juego De Fresas Para Madera 12 Pzs Ruteadora 1/4 Estuche;89900;1;250;buy_it_now;gold_pro;new;True;;MCO166629;5_green;platinum;0.98;0.01;0.01;True;False;6;False;08;2019;2017;07;80.0;Agro
MCO592654139;Motobomba Bomba Eléctrica Periférica De 1/2 Hp Para Agua;89990;1;50;buy_it_now;gold_special;new;True;;MCO372060;5_green;platinum;0.97;0.01;0.02;True;False;4;False;10;2020;2020;10;70.0;Agro
MCO579070945;Careta Soldar Inteligente Fotosensible Dragon Furius Fw49;98900;1;50;buy_it_now;gold_special;new;True;;MCO167011;5_green;platinum;0.97;0.02;0.01;True;False;6;False;08;2020;2020;09;19.0;Agro
MCO509105857;Equipo De Soldadura Inversor 200 Amperios;549900;1;100;buy_it_now;gold_special;new;True;;MCO167011;5_green;gold;0.96;0.02;0.02;True;False;5;False;12;2020;2019;07;429.0;Agro
