id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO578022678;Bandana Naruto Konoha Aldea De La Hoja;22500;150;500;buy_it_now;gold_special;new;True;;MCO2978;5_green;gold;0.99;0.01;0.0;False;False;5;False;08;2020;2020;08;335.0;Juegos y Juguetes
MCO574628855;Muñeca Bebe Reborn Real Cuerpo Completo Silicona ;369000;1;150;buy_it_now;gold_pro;new;True;;MCO176611;5_green;platinum;0.98;0.01;0.01;True;False;6;False;12;2020;2020;08;170.0;Juegos y Juguetes
MCO459401462;Moto Carro Recargable Electricas Montable Envio Gratis;182900;50;500;buy_it_now;gold_special;new;True;204900.0;MCO436913;5_green;platinum;0.91;0.05;0.04;True;False;5;False;11;2019;2017;11;3265.0;Juegos y Juguetes
MCO592806660;Pulpo Reversible Peluche 20cm Estado De Ánimo Doble Cara;26770;1;500;buy_it_now;gold_special;new;True;;MCO176652;5_green;platinum;0.94;0.05;0.01;False;False;4;False;11;2020;2020;11;361.0;Juegos y Juguetes
MCO498011157;Moto Carro Electrica Niño Niña Recargable Montable 4 Año ;191900;250;500;buy_it_now;gold_special;new;True;470000.0;MCO436913;5_green;platinum;0.96;0.02;0.02;True;False;5;False;11;2019;2019;05;1439.0;Juegos y Juguetes
MCO564166101;Naruto Sapo Monedero Verde ;18000;50;500;buy_it_now;gold_special;new;True;;MCO2978;5_green;platinum;0.98;0.01;0.01;False;False;5;False;07;2020;2020;06;101.0;Juegos y Juguetes
MCO545313881;Muñeca Bebes Llorones Cry Babies Original;179900;50;500;buy_it_now;gold_special;new;True;;MCO176611;5_green;platinum;0.95;0.03;0.02;True;False;6;False;10;2020;2019;12;501.0;Juegos y Juguetes
MCO498011211;Moto Carro Recargable  Electrica 4 Año Roja Rosada Azul Negr;191900;500;500;buy_it_now;gold_special;new;True;470000.0;MCO436913;5_green;platinum;0.96;0.02;0.02;True;False;5;False;02;2019;2018;12;2841.0;Juegos y Juguetes
MCO593454504;Moto Carro Recargable  Electrica 4 Año Roja Rosada Azul Negr;180000;500;500;buy_it_now;gold_special;new;True;;MCO436913;5_green;platinum;0.92;0.06;0.02;True;False;4;False;11;2020;2020;11;435.0;Juegos y Juguetes
MCO587625324;Lego Mario Set: Batalla Final  El Castillo De Bowser;769900;1;5;buy_it_now;gold_special;new;True;;MCO176638;5_green;platinum;0.97;0.02;0.01;True;False;5;True;10;2020;2020;10;8.0;Juegos y Juguetes
