id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO558155384; Trípode Cámara Mod. 3110 102cm + Estuche + Clip Celular;31900;200;500;buy_it_now;gold_special;new;True;59900.0;MCO40736;5_green;platinum;0.97;0.02;0.01;False;False;6;False;10;2019;2020;04;1174.0;Cámaras y Accesorios
MCO592061464;Camara Digital Kids A Color Para Niño Y Niña;89900;1;200;buy_it_now;gold_pro;new;True;;MCO1042;5_green;platinum;0.83;0.17;0.0;True;False;4;False;12;2020;2020;10;116.0;Cámaras y Accesorios
MCO575309533;Aro De Luz Led + Control Remoto + Tripode + Base Celular ;70000;250;500;buy_it_now;gold_pro;new;True;;MCO114643;5_green;platinum;0.88;0.08;0.04;True;False;5;False;08;2020;2020;08;180.0;Cámaras y Accesorios
MCO579667529;Camara Digital Kids;37800;1;200;buy_it_now;gold_pro;new;True;;MCO1042;5_green;platinum;0.96;0.02;0.02;False;False;4;False;11;2020;2020;09;101.0;Cámaras y Accesorios
MCO580818513;Cámara De Acción Deportiva Wifi Full Hd 4k Sumergible Webcam;104990;1;50;buy_it_now;gold_pro;new;True;;MCO8876;5_green;platinum;0.93;0.03;0.04;True;False;5;False;09;2020;2020;09;73.0;Cámaras y Accesorios
MCO540164181;Cámara De Video Deportiva Resistente Al Agua Para Casco Moto;39680;1;250;buy_it_now;gold_special;new;True;;MCO8876;5_green;platinum;0.93;0.03;0.04;False;False;4;False;11;2019;2019;12;359.0;Cámaras y Accesorios
MCO573932597;Aro De Luz 26 Cm + Tripode Profesional 2.10 Metros De Altura;58900;500;500;buy_it_now;gold_pro;new;True;;MCO114643;5_green;platinum;0.95;0.03;0.02;False;False;4;False;12;2020;2020;08;765.0;Cámaras y Accesorios
MCO597930761;Cámara Digital Para Niños Fotos Vídeos Con Juego Incorporado;38900;1;150;buy_it_now;gold_special;new;True;;MCO1042;5_green;platinum;0.85;0.09;0.06;False;False;4;False;12;2020;2020;12;50.0;Cámaras y Accesorios
MCO500393381;Tripode Profesional Para Celular Y Camara 1,39mt Con Estuche;34900;1;500;buy_it_now;gold_special;new;True;;MCO40736;5_green;platinum;0.95;0.02;0.03;False;False;6;False;09;2019;2019;02;333.0;Cámaras y Accesorios
MCO453398876;Cámara Thieye I60+ Deportiva Wifi 4k Nueva + Control Remoto;239900;1;150;buy_it_now;gold_special;new;True;;MCO8876;5_green;platinum;0.95;0.03;0.02;True;False;4;False;07;2019;2017;08;343.0;Cámaras y Accesorios
