id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MCO562286973;Guitarra Acústica+forro +método+pick De Rasgueo+envío Gratis;130000;500;500;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO559570632;Parlante Bluetooth 10w Inalámbrico Resistente Al Agua Tedge;89900;200;250;buy_it_now;gold_special;True;129900.0;MCO3691;Instrumentos Musicales
MCO591180308;Batería Electrónica Musical Portatil Recargable Con Pedales;199900;1;50;buy_it_now;gold_special;True;;MCO416668;Instrumentos Musicales
MCO454312248;Teclado Piano Yamaha Psr E463 Con Estuche Base Dvd Citimusic;1626000;1;200;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO561427669;Ukelele En Cedro Incluye Forro, Método Y Pua. Originales. ;120000;500;500;buy_it_now;gold_pro;True;;MCO180028;Instrumentos Musicales
MCO572050868;Kit Micrófono Solapa Housailei Con Accesorios Profesional ;48000;1;500;buy_it_now;gold_pro;True;;MCO4633;Instrumentos Musicales
MCO569648831;Guitarra Acústica Mate +forro+método +pick +envío Gratis ;130000;500;500;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO559568347;Parlante Bluetooth 3w Inalámbrico Resistante Al Agua Tedge;29900;150;250;buy_it_now;gold_special;True;59900.0;MCO3691;Instrumentos Musicales
MCO453892682;Guacharaca Guiro Carrasca Fiesta Parranda Vallenata Hora Loc;19990;1;250;buy_it_now;gold_special;True;;MCO413431;Instrumentos Musicales
MCO485631037;Teclado Organeta Piano Electrónico 49 Teclas + Micrófono;84900;1;250;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO502012718;Guitarra Electroacustica Cable Forro Pua Marca Aire Artesana;164900;5000;200;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO581978067;Micrófono De Solapa Profesional Housailei Con Accesorios;47900;50;500;buy_it_now;gold_pro;True;;MCO4633;Instrumentos Musicales
MCO563353469;Parlante Karaoke 8 Watts Bluetooth Y Microfono 12 Tedge ;179900;250;100;buy_it_now;gold_special;True;249900.0;MCO3691;Instrumentos Musicales
MCO558855084;Encordado Nylon Guitarra Acustica Electroacustica 6 Cuerdas;15900;250;500;buy_it_now;gold_pro;True;;MCO168380;Instrumentos Musicales
MCO567997286;Bateria Alesis Nitromesh Kit;1963500;1;5;buy_it_now;gold_special;True;;MCO416668;Instrumentos Musicales
MCO493501892;Microfono Trust Gxt 232 Mantis Streaming Usb;139900;100;500;buy_it_now;gold_special;True;;MCO4633;Instrumentos Musicales
MCO481385616;Base Soporte Vertical Guitarra Importada Alta Calidad ;49990;1;500;buy_it_now;gold_special;True;;MCO170789;Instrumentos Musicales
MCO594547711;Teclado Yamaha Psr-e373 Nuevo+ Adaptador+base+pedal+forro;1060000;1;25;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO449583744;Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño;14900;250;500;buy_it_now;gold_special;True;;MCO3691;Instrumentos Musicales
MCO577084251;Ik Multimedia Amplitube Irig Adaptador De Interfaz De Gui;34000;50;100;buy_it_now;gold_pro;True;;MCO8440;Instrumentos Musicales
MCO531453643;Xilófono Infantil 15 Tonos Nacional;72000;1;200;buy_it_now;gold_pro;True;;MCO413404;Instrumentos Musicales
MCO532848606;Guitarras Acusticas Con Forro Y Metodo, Niños De 3 A 7 Años;84000;1;250;buy_it_now;gold_special;True;;MCO29465;Instrumentos Musicales
MCO558079903;Micrófono Con Trípode Trust Gxt 212 Mico · 3.5mm / Usb;87900;1;500;buy_it_now;gold_special;True;139900.0;MCO4633;Instrumentos Musicales
MCO446746456;Espuma Acustica Profesional Para Ruido 1mt X2mts X 5cm ;79900;250;500;buy_it_now;gold_pro;True;;MCO166576;Instrumentos Musicales
MCO539569534;Parlante Jbl Go 2 Portable Bluetooth Resistencia Ipx7 Negro;109900;500;250;buy_it_now;gold_special;True;159900.0;MCO3691;Instrumentos Musicales
MCO537482068;Piano Organeta Teclado Electrónico Mk4500 54 Key Con Usb;207800;1;50;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO577252882;Capotraste Capo Traste Cejilla Guitarra Bajo Ukelel Acero Al;13390;5000;200;buy_it_now;gold_pro;True;;MCO413389;Instrumentos Musicales
MCO474175958;Pad De  Entreno Bateria Redoblante Incluye Baquetas;47990;50;100;buy_it_now;gold_special;True;;MCO29161;Instrumentos Musicales
MCO502028154;Guitarra Electroacustica Afinador Forro  Correa Puas;208900;5000;250;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO520199707;Base Para Micrófono De Mano Pedestal Incluye Piaña;59990;250;500;buy_it_now;gold_special;True;;MCO4633;Instrumentos Musicales
MCO563624397;Bombillo Parlante Con Bluetooth Multicolores Súper Oferta.;25000;150;500;buy_it_now;gold_pro;True;;MCO3691;Instrumentos Musicales
MCO506217701;Baquetas Importadas Para Batería 5a Punta Nylon;13900;1;100;buy_it_now;gold_pro;True;;MCO29161;Instrumentos Musicales
MCO568831082;Ukelele Concierto En Cedro  Incluye Forro, Método Y Pua ;130000;250;100;buy_it_now;gold_pro;True;;MCO180028;Instrumentos Musicales
MCO514530842;Teclado Organeta Piano Electrónico 54 Teclas Micrófono Usb;179900;1;100;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO455787971;Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch;34900;100;500;buy_it_now;gold_special;True;54900.0;MCO4633;Instrumentos Musicales
MCO583446544;Guitarra Acústica Clásica+ Forro+ Método Pick+envío Gratis;130000;500;50;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO460990959;Parlante Para Bicicleta Con Bluetooth Linterna Power Bank;54900;250;500;buy_it_now;gold_special;True;59900.0;MCO3691;Instrumentos Musicales
MCO559474248;Micrófono 3.5mm Solapa, Ideal Para Grabar En Pc, Carro, Gps ;22000;1;500;buy_it_now;gold_pro;True;;MCO4633;Instrumentos Musicales
MCO558902952;Encordado/set De Cuerdas Guitarra Electrica Daddario Exl-110;38900;1;250;buy_it_now;gold_pro;True;;MCO168380;Instrumentos Musicales
MCO446498258;Bateria Electronica / Electrica Alesis Nitro Mesh Kit Nuevas;1963500;1;25;buy_it_now;gold_special;True;;MCO416668;Instrumentos Musicales
MCO555843247;Cabina Activa 15 Soundpower Top Pack Incluye Base+microfono ;584000;1;200;buy_it_now;gold_special;True;;MCO6872;Instrumentos Musicales
MCO585028614;Ukelele Soprano Y Concierto Incluye Forro, Método Y Pua ;120000;500;50;buy_it_now;gold_special;True;;MCO180028;Instrumentos Musicales
MCO469417635;Teclado Organeta Casio Ct-s300 Sensibilidad Usb Adaptador;765000;1;50;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO514376768;Parlante Portable Jbl Flip 4 Bluetooth 12 Horas Sumergible;339900;50;250;buy_it_now;gold_special;True;;MCO3691;Instrumentos Musicales
MCO562286679;Guitarra Acústica +método De Aprendizaje + Púa+ Envío Gratis;140000;250;100;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO445871453;Cajón Flamenco Peruano//shaker Estuche Almoh/lla Envío Grati;269000;1;100;buy_it_now;gold_special;True;;MCO442093;Instrumentos Musicales
MCO557516829;Micrófono Usb Para Streaming, Trust Gxt 232 Mantis + Trípode;147900;1;500;buy_it_now;gold_special;True;219900.0;MCO4633;Instrumentos Musicales
MCO543514769;Microfono Bluetooth Ws 858 Karaoke;32900;1;250;buy_it_now;gold_pro;True;;MCO4633;Instrumentos Musicales
MCO479630202;Soporte Guitarra Plegable Viper Fc80 Alta Calidad Base Atril;49900;1;250;buy_it_now;gold_special;True;;MCO170789;Instrumentos Musicales
MCO523511842;Cabina De Sonido Recargable Connor Bluetooth Parlante Audio ;99900;500;500;buy_it_now;gold_pro;True;;MCO3691;Instrumentos Musicales
MCO569815660;Teclado Organeta Yamaha Psr-e363 + Base + Pedal Sustain;1020000;1;25;buy_it_now;gold_special;True;;MCO2997;Instrumentos Musicales
MCO565658907;Guitarra Acústica + Forro + Método + Púa + Envío Gratis.;130000;1;50;buy_it_now;gold_pro;True;;MCO29465;Instrumentos Musicales
MCO574323446;Bateria Electronica Alesis Nitromesh Kit Despacho Inmediato;2112250;1;5;buy_it_now;gold_special;True;;MCO416668;Instrumentos Musicales
MCO451143059;Par Monitores Activos 2 Profesionales Presonus Eris 3.5;524000;1;500;buy_it_now;gold_special;True;;MCO166577;Instrumentos Musicales
MCO558155218;Ukulele Soprano Standard Ukelele Importado Madera Con Forro;145000;50;250;buy_it_now;gold_special;True;;MCO180028;Instrumentos Musicales
