id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO575768853;Dulce Mexicano Importado Enchilado De La Rosa® Pulparindo;2500;1;50;buy_it_now;gold_special;new;True;;MCO177945;5_green;gold;0.96;0.02;0.02;False;False;4;False;08;2020;2020;08;13.0;Alimentos y Bebidas
MCO540523749;Whisky Buchanans Deluxe 750ml - mL a $115;85990;50;500;buy_it_now;gold_special;new;True;114990.0;MCO442298;5_green;platinum;0.98;0.0;0.02;True;False;5;True;11;2020;2019;11;125.0;Alimentos y Bebidas
MCO555877162;Papel De Arroz Sabor Vainilla Cert. Invima 100 Hojas 0,4;95000;250;500;buy_it_now;gold_pro;new;True;;MCO429137;5_green;platinum;0.94;0.03;0.03;True;False;5;False;03;2020;2020;03;100.0;Alimentos y Bebidas
MCO595913368;Mini Masmelos Americanos Importados Rocky Mountain®;7500;1;50;buy_it_now;gold_special;new;True;;MCO177945;5_green;gold;0.96;0.02;0.02;False;False;5;False;11;2020;2020;11;17.0;Alimentos y Bebidas
MCO564162189;Pack Cerveza Alemana Steam Brew 3 Lata*5 - mL a $17;25500;50;500;buy_it_now;gold_special;new;True;;MCO403656;5_green;gold;0.99;0.01;0.0;False;False;5;False;08;2020;2020;05;121.0;Alimentos y Bebidas
MCO462756499;Yerba Mate Rosamonte Selección Especial 500 Gr.;20900;250;500;buy_it_now;gold_special;new;True;;MCO409408;5_green;gold;0.99;0.0;0.01;False;False;5;False;01;2018;2018;01;145.0;Alimentos y Bebidas
MCO462491908;Yerba Mate Rosamonte 1 Kg - kg a $29000;29000;250;500;buy_it_now;gold_special;new;True;;MCO409408;5_green;gold;0.99;0.0;0.01;False;False;5;False;06;2019;2018;01;393.0;Alimentos y Bebidas
MCO503412977;Johnnie Walker Black Label - mL a $107;74990;50;250;buy_it_now;gold_special;new;True;93990.0;MCO403667;5_green;platinum;0.98;0.0;0.02;True;False;5;True;11;2020;2019;02;67.0;Alimentos y Bebidas
MCO495957608;Snacks Americanos Importados Frito Lay® Cheetos® Flamin Hot;3700;1;250;buy_it_now;gold_special;new;True;;MCO177940;5_green;gold;0.96;0.02;0.02;False;False;4;False;09;2019;2019;05;90.0;Alimentos y Bebidas
MCO463777232;Yerba Mate Rosamonte Tradicional X500 Gr;15500;250;500;buy_it_now;gold_pro;new;True;;MCO409408;5_green;gold;0.99;0.0;0.01;False;False;5;False;01;2018;2018;02;199.0;Alimentos y Bebidas
MCO557112321;Diablitos  Underwood Jamón Endiablado Producto Venezolano;8800;1;500;buy_it_now;gold_pro;new;True;;MCO418150;5_green;silver;1.0;0.0;0.0;False;False;5;False;03;2020;2020;03;87.0;Alimentos y Bebidas
MCO544192313;Whisky Old Parr 12 Anos 750 Ml - mL a $107;79990;100;250;buy_it_now;gold_special;new;True;105990.0;MCO442298;5_green;platinum;0.98;0.0;0.02;True;False;5;True;11;2020;2019;12;76.0;Alimentos y Bebidas
MCO568966100;Chocolate Artesanal Orgánico Cacao 1 - kg a $15000;15000;1;250;buy_it_now;gold_special;new;True;;MCO177942;5_green;silver;0.93;0.04;0.03;False;False;5;False;11;2020;2020;07;206.0;Alimentos y Bebidas
MCO580068613;Leche Evaporada En Lata Marca Red&white - mL a $31;10800;200;250;buy_it_now;gold_pro;new;True;;MCO417098;5_green;;0.97;0.01;0.02;False;False;5;False;08;2020;2020;09;26.0;Alimentos y Bebidas
MCO576851189;Buchanas Master 750000 - mL a $171;128000;500;150;buy_it_now;gold_special;new;True;;MCO442298;5_green;;1.0;0.0;0.0;True;False;4;False;08;2020;2020;08;37.0;Alimentos y Bebidas
MCO595317535;Calendario De Chocolates Navideño 150g - kg a $833;20000;1;100;buy_it_now;gold_pro;new;True;;MCO177942;5_green;;1.0;0.0;0.0;False;False;5;False;11;2020;2020;11;20.0;Alimentos y Bebidas
MCO459450435;Dulces Mexicanos Importados Picante Vero® Mix Banda De Fuego;34950;1;50;buy_it_now;gold_special;new;True;;MCO177945;5_green;gold;0.96;0.02;0.02;False;False;5;False;02;2020;2018;07;28.0;Alimentos y Bebidas
MCO563527500;Almendra Natural 1000g (2lb.) - kg a $50000;50000;1;150;buy_it_now;gold_special;new;True;;MCO442340;5_green;gold;1.0;0.0;0.0;False;False;5;False;10;2020;2020;06;23.0;Alimentos y Bebidas
MCO504697432;Vino Espumoso Jp. Chenet Ice Rosado/bla - mL a $110;21999;50;250;buy_it_now;gold_special;new;True;;MCO417665;5_green;platinum;0.95;0.03;0.02;False;False;5;False;08;2020;2019;03;185.0;Alimentos y Bebidas
MCO544619675;Harina De Coco X 1 Kilo - Bioessens;20800;1;200;buy_it_now;gold_special;new;True;;MCO389313;5_green;platinum;0.97;0.02;0.01;False;False;4;True;09;2020;2019;12;51.0;Alimentos y Bebidas
MCO535091029;Infusión Te De Coca Natural X60;20200;1;250;buy_it_now;gold_special;new;True;;MCO409410;5_green;gold;0.99;0.0;0.01;False;False;5;False;09;2019;2019;10;36.0;Alimentos y Bebidas
MCO558606502;Cerveza Coronita X 24 Botella 210 Ml C/u;54000;1;200;buy_it_now;gold_special;new;True;60000.0;MCO403656;5_green;platinum;0.97;0.01;0.02;False;False;6;True;08;2020;2020;05;65.0;Alimentos y Bebidas
MCO558164897;Chocolate Ferrero® Rocher Caja De 16 - kg a $1873;89900;1;50;buy_it_now;gold_special;new;True;;MCO177942;5_green;platinum;0.95;0.04;0.01;True;False;5;False;04;2020;2020;05;41.0;Alimentos y Bebidas
MCO575523158;Sazonador Tajin Clasico 400gr - g a $70;27900;1;150;buy_it_now;gold_special;new;True;;MCO417698;5_green;gold;0.96;0.03;0.01;False;False;5;False;07;2020;2020;08;29.0;Alimentos y Bebidas
MCO535642053;Arequipe De Almendra X 500 Grs  Badem Prunus;30700;1;100;buy_it_now;gold_special;new;True;;MCO177945;5_green;platinum;0.97;0.02;0.01;False;False;5;True;09;2020;2020;03;17.0;Alimentos y Bebidas
MCO502810603;Whisky The Macallan Fine Oak, 12 Años - mL a $333;249999;1;200;buy_it_now;gold_special;new;True;;MCO442298;5_green;platinum;0.95;0.03;0.02;True;False;4;False;06;2019;2019;02;110.0;Alimentos y Bebidas
MCO503405787;Whisky Buchanans 18 Anos 750 Ml - Solo C/marca;180990;1;50;buy_it_now;gold_special;new;True;225990.0;MCO442298;5_green;platinum;0.98;0.0;0.02;True;False;5;True;11;2020;2019;03;60.0;Alimentos y Bebidas
MCO569650619;Salsa Valentina Picante Original 370ml - mL a $70;25900;50;150;buy_it_now;gold_special;new;True;;MCO389310;5_green;gold;0.96;0.03;0.01;False;False;5;False;06;2020;2020;07;29.0;Alimentos y Bebidas
MCO557112720;Diablitos Underwood Jamón Endiablado Producto Venezolano Peq;4500;1;200;buy_it_now;gold_pro;new;True;;MCO418150;5_green;silver;1.0;0.0;0.0;False;False;4;False;04;2020;2020;04;46.0;Alimentos y Bebidas
MCO564198052;Tequila Don Julio Reposado 750ml Etique - mL a $227;169990;1;150;buy_it_now;gold_special;new;True;;MCO442300;5_green;platinum;0.98;0.0;0.02;True;False;5;True;06;2020;2020;05;148.0;Alimentos y Bebidas
MCO571128889;Libra Chocolate Organico - 100% Cacao - Natural Sin Azucar;19900;1;100;buy_it_now;gold_pro;new;True;;MCO177942;5_green;silver;0.92;0.04;0.04;False;False;5;False;07;2020;2020;07;72.0;Alimentos y Bebidas
MCO563518449;Harina De Almendras 1 Kg;65000;1;50;buy_it_now;gold_special;new;True;;MCO389313;5_green;platinum;0.97;0.01;0.02;False;False;6;False;05;2020;2020;06;23.0;Alimentos y Bebidas
MCO575380640;Moringa En Hoja Suelta, 200 Gr - G A - G - g a $100;20000;1;250;buy_it_now;gold_pro;new;True;;MCO409406;5_green;;1.0;0.0;0.0;False;False;5;False;12;2020;2020;08;57.0;Alimentos y Bebidas
MCO578529815;Pulparindo Caja X 20 - Dulce De Tamarindo - g a $4;24000;1;50;buy_it_now;gold_special;new;True;;MCO177945;5_green;gold;0.96;0.03;0.01;False;False;5;False;08;2020;2020;08;14.0;Alimentos y Bebidas
MCO571617397;Salvado De Avena X 500 Grs - Prodelagro;6600;1;50;buy_it_now;gold_special;new;True;;MCO389313;5_green;platinum;0.97;0.02;0.01;False;False;5;True;07;2020;2020;08;6.0;Alimentos y Bebidas
